group,replicate,fastq_1,fastq_2
48hr_0,1,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/april_48hr_0_A_S1_R1_001.fastq.gz,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/april_48hr_0_A_S1_R2_001.fastq.gz
48hr_0,2,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/april_48hr_0_B_S2_R1_001.fastq.gz,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/april_48hr_0_B_S2_R2_001.fastq.gz
48hr_0,3,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/may_48hr_0_A_S17_R1_001.fastq.gz,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/may_48hr_0_A_S17_R2_001.fastq.gz
48hr_0,4,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/may_48hr_0_B_S18_R1_001.fastq.gz,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/may_48hr_0_B_S18_R2_001.fastq.gz
48hr_10,1,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/april_48hr_10_A_S3_R1_001.fastq.gz,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/april_48hr_10_A_S3_R2_001.fastq.gz
48hr_10,2,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/april_48hr_10_B_S4_R1_001.fastq.gz,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/april_48hr_10_B_S4_R2_001.fastq.gz
48hr_10,3,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/may_48hr_10_A_S19_R1_001.fastq.gz,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/may_48hr_10_A_S19_R2_001.fastq.gz
48hr_10,4,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/may_48hr_10_B_S20_R1_001.fastq.gz,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/may_48hr_10_B_S20_R2_001.fastq.gz
48hr_50,1,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/april_48hr_50_A_S5_R1_001.fastq.gz,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/april_48hr_50_A_S5_R2_001.fastq.gz
48hr_50,2,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/april_48hr_50_B_S6_R1_001.fastq.gz,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/april_48hr_50_B_S6_R2_001.fastq.gz
