GuideID,01AA01,02AA02,03AA03,04AA04,05AA05,06AA06,07AA07,08AA08,Mean_Counts,Median_Counts,SD_Counts,CV,Min_Counts,Max_Counts
hits_for_FACS_followup_336,6,6,2,6,5,5,4,5,4.875,5,1.3562026818605375,27.819542192011028,2,6
hits_for_FACS_followup_510,117,66,88,99,79,97,106,86,92.25,92.5,15.997767701419201,17.341753605874473,66,117
hCRISPRa_non_targeting_control_739,101,80,111,110,59,100,98,107,95.75,100.5,17.77437963554766,18.56332076819599,59,111
hits_for_FACS_followup_222,293,261,306,327,236,340,317,328,301,311.5,36.04758759513002,11.975942722634557,236,340
hits_for_FACS_followup_556,314,257,292,316,230,359,324,344,304.5,315,43.25340614168025,14.204731081011577,230,359
hits_for_FACS_followup_333,521,342,356,468,315,462,460,437,420.125,448.5,73.0585626154017,17.389720348801358,315,521
hits_for_FACS_followup_294,512,354,389,446,322,500,471,407,425.125,426.5,68.68236933262318,16.155805782445913,322,512
hits_for_FACS_followup_433,452,413,444,508,331,460,464,512,448,456,57.37346325361827,12.80657661911122,331,512
hits_for_FACS_followup_287,499,399,454,504,354,485,441,503,454.875,469.5,54.86981345486267,12.062613565234992,354,504
hits_for_FACS_followup_292,539,442,439,542,373,498,613,495,492.625,496.5,74.50970694192421,15.125035664435263,373,613
hits_for_FACS_followup_396,600,466,551,601,420,651,613,551,556.625,575.5,78.26500312582704,14.06063384250205,420,651
hits_for_FACS_followup_123,577,451,573,596,396,709,583,635,565,580,99.0569821581786,17.532209231536036,396,709
hits_for_FACS_followup_264,645,495,580,656,452,660,607,637,591.5,622,78.31256056889688,13.239655210295332,452,660
hCRISPRa_non_targeting_control_677,641,483,603,597,453,663,690,609,592.375,606,83.39396603728936,14.077900998065306,453,690
hits_for_FACS_followup_52,662,535,618,655,485,711,646,595,613.375,632,73.36199385824477,11.96038212484121,485,711
