ATAC_bin,guide_type,df_name,ATAC_bin_start,is_significant,final_colors
NA,chr2:46541698-46544265,local_negative_controls,46541698,FALSE,#050500
NA,chr2:46670455-46670660,hits_for_FACS_followup,46670455,FALSE,#86D3E8
NA,chr2:46698760-46699140,hits_for_FACS_followup,46698760,FALSE,#E6A197
chr2:46706253-46706571,chr2:46706253-46706571,hits_for_FACS_followup,46706253,TRUE,#372AE6
chr2:46858760-46858960,chr2:46858760-46858960,hits_for_FACS_followup,46858760,FALSE,#EE7600
chr2:46940340-46940720,chr2:46940340-46940720,hits_for_FACS_followup,46940340,FALSE,#2eb82e
NA,chr2:46940390-46941878,hits_for_FACS_followup,46940390,TRUE,#00ffff
chr2:46986140-46986500,chr2:46986140-46986500,hits_for_FACS_followup,46986140,TRUE,#ff0000
chr2:47038765-47039100,chr2:47038765-47039100,hits_for_FACS_followup,47038765,FALSE,#00ffff
chr2:47043120-47043520,chr2:47043120-47043520,hits_for_FACS_followup,47043120,FALSE,#D378FA
chr2:47071540-47071700,chr2:47071540-47071700,hits_for_FACS_followup,47071540,FALSE,#00cc99
chr2:47086720-47087000,chr2:47086720-47087000,hits_for_FACS_followup,47086720,FALSE,#ff99cc
NA,chr2:47118659-47118768,hits_for_FACS_followup,47118659,FALSE,#34992B
NA,chr2:47175627-47177035,local_negative_controls,47175627,FALSE,#050500
NA,chr2:47183936-47184151,hits_for_FACS_followup,47183936,FALSE,#FFBEBD
chr2:47209060-47209240,chr2:47209060-47209240,hits_for_FACS_followup,47209060,FALSE,#FFE70B
chr2:47250692-47250900,chr2:47250692-47250900,hits_for_FACS_followup,47250692,FALSE,#929BFF
chr2:47269760-47270100,chr2:47269760-47270100,hits_for_FACS_followup,47269760,FALSE,#FF9909
chr2:47309940-47310360,chr2:47309940-47310360,hits_for_FACS_followup,47309940,FALSE,#C075D1
chr2:47335180-47335340,chr2:47335180-47335340,hits_for_FACS_followup,47335180,FALSE,#e60000
NA,chr2:47368918-47370143,local_negative_controls,47368918,FALSE,#050500
chr2:47402900-47403140,chr2:47402900-47403140,hits_for_FACS_followup,47402900,TRUE,#B0E62E
chr2:47403155-47403402,chr2:47403155-47403402,hits_for_FACS_followup,47403155,TRUE,#009ACD
chr2:47412413-47412560,chr2:47412413-47412560,hits_for_FACS_followup,47412413,FALSE,#CD9B1D
chr2:47480695-47480871,chr2:47480695-47480871,hits_for_FACS_followup,47480695,FALSE,#ff3300
chr2:47482778-47483223,chr2:47482778-47483223,hits_for_FACS_followup,47482778,FALSE,#9900ff
chr2:47571040-47571300,chr2:47571040-47571300,hits_for_FACS_followup,47571040,FALSE,#ffff00
chr2:47752520-47752760,chr2:47752520-47752760,hits_for_FACS_followup,47752520,FALSE,#ff99bb
chr2:47782580-47782860,chr2:47782580-47782860,hits_for_FACS_followup,47782580,FALSE,#5ABA91
chr2:47798610-47801155,chr2:47798610-47801155,hits_for_FACS_followup,47798610,TRUE,#ff6600
chr2:47803419-47803685,chr2:47803419-47803685,hits_for_FACS_followup,47803419,TRUE,#cc00ff
chr2:48248660-48248840,chr2:48248660-48248840,hits_for_FACS_followup,48248660,FALSE,#7AB03C
NA,chr2:48314106-48315728,local_negative_controls,48314106,FALSE,#050500
chr2:48344240-48344480,chr2:48344240-48344480,hits_for_FACS_followup,48344240,TRUE,#ff3333
chr2:48397970-48398080,chr2:48397970-48398080,hits_for_FACS_followup,48397970,FALSE,#9999ff
NA,chr2:48398280-48398540,hits_for_FACS_followup,48398280,TRUE,#33cc33
NA,chr2:48423500-48423700,hits_for_FACS_followup,48423500,FALSE,#0066cc
NA,chr2:48440460-48440840,local_negative_controls,48440460,FALSE,#F59270
NA,chr2:48448799-48448915,hits_for_FACS_followup,48448799,FALSE,#8499F7
chr2:48496940-48497100,chr2:48496940-48497100,hits_for_FACS_followup,48496940,FALSE,#FAF600
chr2:48530040-48530316,chr2:48530040-48530316,hits_for_FACS_followup,48530040,TRUE,#FF1493
NA,AAVS1_negative_control,AAVS1_negative_control,NA,TRUE,#050500
